City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 1 hours),Snow inches (last 1 hours)
160,Atbasar,KZ,2020-07-12 16:38:43,51.8,68.33,68.43,71,0,9.62,clear sky,0,0
161,Havoysund,NO,2020-07-12 16:38:43,71.0,24.66,57.2,87,20,13.87,few clouds,0,0
162,Labuhan,ID,2020-07-12 16:38:43,-6.88,112.21,78.22,82,79,6.8,broken clouds,0,0
163,Kodiak,US,2020-07-12 16:38:43,57.79,-152.41,53.6,87,90,4.7,overcast clouds,0,0
164,Cajabamba,PE,2020-07-12 16:38:43,-7.62,-78.05,66.13,42,9,5.46,clear sky,0,0
165,Hualmay,PE,2020-07-12 16:38:44,-11.1,-77.61,66.43,64,68,8.68,broken clouds,0,0
166,Bembibre,ES,2020-07-12 16:38:44,42.62,-6.42,87.01,49,26,5.01,scattered clouds,0,0
167,Souillac,MU,2020-07-12 16:38:44,-20.52,57.52,71.6,73,75,17.22,broken clouds,0,0
168,Morshansk,RU,2020-07-12 16:38:44,53.44,41.81,69.49,73,0,5.1,clear sky,0,0
169,Newport,GB,2020-07-12 16:35:53,51.59,-3.0,73.0,47,54,4.0,broken clouds,0,0
170,Clyde River,CA,2020-07-12 16:38:44,70.47,-68.59,46.4,87,90,12.75,overcast clouds,0,0
171,Mahebourg,MU,2020-07-12 16:38:44,-20.41,57.7,71.6,73,75,17.22,broken clouds,0,0
172,Srednekolymsk,RU,2020-07-12 16:38:45,67.45,153.68,56.91,69,0,2.59,clear sky,0,0
173,Castro,BR,2020-07-12 16:38:45,-24.79,-50.01,68.2,60,29,10.31,scattered clouds,0,0
174,Leningradskiy,RU,2020-07-12 16:38:45,69.38,178.42,39.16,78,0,8.59,clear sky,0,0
175,Boma,GH,2020-07-12 16:38:45,7.08,-2.17,77.32,92,72,2.59,light rain,0.96,0
176,Anloga,GH,2020-07-12 16:38:45,5.79,0.9,80.6,74,20,10.29,few clouds,0,0
177,Vila Velha,BR,2020-07-12 16:38:45,-20.33,-40.29,84.2,45,20,13.87,few clouds,0,0
